Title,Author,Year,DOI,License,Region,Stovetype,Impact_Score,AI_Ready
Indoor residential chemical emissions as risk factors for respiratory and allergic effects in children: a review,Mark J. Mendell,2007,https://doi.org/10.1111/j.1600-0668.2007.00478.x,,,,,
The potential impacts of climate variability and change on air pollution-related health effects in the United States.,Sylvia Bernard; James M. Samet; A. E. Grambsch; Kristie L. Ebi; Isabelle Romieu,2001,https://doi.org/10.1289/ehp.109-1240667,public-domain,,,,
Role of platelet-derived growth factors in physiology and medicine,Johanna Andræ; R Gallini; Christer Betsholtz,2008,https://doi.org/10.1101/gad.1653708,,,,,
"Asthma—The canary in the Australian coalmine: Making the links between climate change, fossil fuel and public health outcomes",Rebecca Patrick; Martin Hensher; Cenk Suphioglu; Rachel Huxley,2023,https://doi.org/10.1002/hpja.756,cc-by-nc,,,,Gold Standard
Role of environmental control in the management of asthma and allergy,Elizabeth C. Matsui,2011,https://doi.org/10.1016/j.jaci.2011.10.022,,,,,
Respiratory health and indoor air pollutants based on quantitative exposure assessments,Marion Hulin; Marzia Simoni; Giovanni Viegi; Isabella Annesi‐Maesano,2012,https://doi.org/10.1183/09031936.00159011,,,,,
"Volatile Organic Compounds in Air: Sources, Distribution, Exposure and Associated Illnesses in Children",Regina Montero‐Montoya; Rocío López‐Vargas; Omar Arellano‐Aguilar,2018,https://doi.org/10.29024/aogh.910,cc-by,,,,Gold Standard
Indoor air pollution and the lung in low- and medium-income countries,Om Kurmi; Hubert Lam; Jon G. Ayres,2012,https://doi.org/10.1183/09031936.00190211,,,,,
<i>Housing and Health</i>,Virginia Rauh; Philip J. Landrigan; Luz Cláudio,2008,https://doi.org/10.1196/annals.1425.032,,,,,
Impact of climate change on the domestic indoor environment and associated health risks in the UK,Sotiris Vardoulakis; Sani Dimitroulopoulou; John E. Thornes; Ka Man Lai; Jonathon Taylor; Isabella Myers; Clare Heaviside; Anna Mavrogianni; Clive Shrubsole; Zaid Chalabi; Michael Davies; Paul Wilkinson,2015,https://doi.org/10.1016/j.envint.2015.09.010,cc-by,,,,Gold Standard
Lung hyperpermeability and asthma prevalence in schoolchildren: unexpected associations with the attendance at indoor chlorinated swimming pools,Alfred Bernard; Sylviane Carbonnelle; Olivier Michel; S Higuet; Claire de Burbure; Jean‐Pierre Buchet; Cédric Hermans; Xavier Dumont; Ian Doyle,2003,https://doi.org/10.1136/oem.60.6.385,,,,,
Defining and targeting health disparities in chronic obstructive pulmonary disease,Roy A. Pleasants; Isaretta Riley; David M. Mannino,2016,https://doi.org/10.2147/copd.s79077,cc-by-nc,,,,Gold Standard
Asthma risk factors,Elina Toskala; David W. Kennedy,2015,https://doi.org/10.1002/alr.21557,,,,,
Prevalence and risk factors of asthma and wheezing among US adults: an analysis of the NHANES III data,Ahmed A. Arif; George L. Delclos; E.S. Lee; Susan R. Tortolero; Richdeep S. Gill,2003,https://doi.org/10.1183/09031936.03.00054103a,,,,,
"Association of Changes in Air Quality With Incident Asthma in Children in California, 1993-2014",Erika Garcia; Kiros Berhane; Talat Islam; Rob McConnell; Robert Urman; Zhanghua Chen; Frank D. Gilliland,2019,https://doi.org/10.1001/jama.2019.5357,,,,,
Household air pollution and its effects on health,Komalkirti Apte; Sundeep Salvi,2016,https://doi.org/10.12688/f1000research.7552.1,cc-by,,,,Gold Standard
